City,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Seaboard,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Selma,0,0,0,0,0,0,1,1,4,1,0,1,1,1,1,0,11
Shallotte,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4
Sharpsburg,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,5
Shelby,6,9,3,2,2,3,2,3,5,1,2,2,4,2,2,2,50
Siler City,1,1,2,1,1,0,2,2,0,2,0,1,0,2,2,4,21
Sims,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
Smithfield,3,2,2,3,4,8,6,1,6,7,7,7,2,4,3,4,69
Snow Hill,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Southern Pines,1,0,2,3,1,1,0,2,1,1,3,4,2,6,2,5,34
Southern Shores,0,0,0,0,0,0,0,0,1,2,2,0,1,0,2,0,8
Southport,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4
Speed,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Spencer,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5
Spindale,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,2,7
Spring Hope,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3
Spring Lake,2,1,2,2,2,0,1,0,1,2,2,1,1,1,0,2,20
Stallings,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,5
Stanfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Stanley,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,7
Star,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Statesville,11,12,6,11,6,11,7,4,9,3,5,5,5,7,2,0,104
Stedman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Stokesdale,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Stoneville,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stonewall,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Summerfield,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,6
Sunset Beach,0,0,1,0,0,0,0,0,0,1,1,2,0,1,1,1,8
Surf City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Swansboro,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,4
Swepsonville,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Sylva,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,5
Tabor City,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,5
Tarboro,3,7,6,2,6,1,5,1,4,3,3,1,1,1,2,0,46
Thomasville,4,3,2,1,3,0,2,0,1,0,0,1,0,3,0,1,21
Tobaccoville,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,5
Trent Woods,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3
Trinity,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,4
Troutman,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,6
Troy,1,1,1,1,1,2,0,1,1,2,1,0,0,0,0,0,12
Tryon,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Turkey,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Unionville,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3
Valdese,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Vanceboro,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Vander,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Vass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Wadesboro,0,0,0,2,0,0,3,1,0,1,1,0,0,1,0,1,10
Wake Forest,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
